age,income,tenure_months,num_products,has_credit_card,is_active,country,education,churn
62,34592,4,3,0,0,USA,HS,1
65,117080,115,1,1,0,India,HS,1
35,50495,65,1,0,1,USA,PhD,0
59,56463,104,1,0,1,UK,Masters,0
31,48221,98,3,0,0,Germany,HS,0
44,131082,45,3,0,1,Australia,HS,0
46,30328,71,3,1,0,India,HS,1
64,49871,99,3,0,0,India,PhD,0
39,79429,82,3,0,1,UK,Bachelors,0
64,54993,90,1,0,0,USA,PhD,1
46,55382,119,2,1,0,USA,HS,0
42,72581,35,1,0,1,USA,PhD,0
47,135957,118,4,0,1,USA,Bachelors,0
57,90644,34,4,1,1,USA,Bachelors,0
54,84686,12,1,0,0,USA,PhD,1
60,28326,50,4,1,1,Australia,HS,0
65,114466,15,3,1,0,UK,PhD,0
32,79470,1,3,0,0,UK,Bachelors,1
31,69009,98,2,0,1,Germany,HS,0
29,141778,47,3,0,0,USA,HS,0
27,115932,63,1,0,0,Germany,Bachelors,1
38,89163,112,4,0,0,UK,PhD,0
64,105180,48,4,1,0,USA,Bachelors,0
26,64313,3,2,0,0,India,HS,1
36,28834,116,1,1,0,Australia,Bachelors,1
39,107684,63,2,0,1,USA,PhD,0
48,44957,13,1,1,1,Germany,PhD,0
51,133224,94,1,0,0,Germany,Masters,1
28,52591,25,2,1,0,Germany,Bachelors,0
39,80637,32,1,1,0,India,HS,1
27,141420,97,2,0,1,Germany,PhD,0
35,133331,52,1,0,1,India,PhD,0
38,141440,101,4,1,1,Australia,PhD,0
31,44890,38,2,0,0,UK,HS,0
25,96569,62,2,0,0,USA,HS,0
60,28907,87,2,1,0,Australia,Bachelors,1
59,97924,6,1,1,1,UK,Bachelors,1
64,113872,41,2,1,1,USA,Masters,0
51,61441,119,1,0,1,Australia,HS,0
26,90468,28,3,0,1,India,Bachelors,0
45,57353,21,4,1,0,Australia,Masters,0
64,33577,113,2,1,0,India,Bachelors,1
39,56930,78,2,1,0,UK,PhD,0
38,138664,117,1,0,1,UK,HS,0
22,63719,99,2,1,0,Germany,PhD,0
57,21267,15,1,0,0,UK,Bachelors,1
49,36704,6,3,1,0,UK,Bachelors,1
65,52706,86,1,1,1,Australia,Bachelors,0
37,133325,21,2,1,0,USA,Masters,0
48,125150,86,2,1,0,India,PhD,0
24,132537,61,2,0,1,UK,Masters,0
36,49219,4,2,1,1,UK,HS,0
39,66025,83,4,1,0,India,Masters,0
33,96099,34,1,0,1,UK,Masters,0
49,99457,66,1,1,0,UK,HS,1
49,20221,67,2,1,1,India,Masters,0
61,61145,85,1,1,1,Germany,Masters,0
47,111384,38,2,0,1,Germany,Bachelors,0
61,94593,39,4,0,1,UK,Bachelors,0
49,122990,75,3,1,1,Germany,Bachelors,0
54,82021,102,2,0,1,Australia,Masters,0
27,127272,97,2,1,0,USA,Bachelors,0
23,26057,32,4,0,1,Germany,Bachelors,0
46,84799,52,2,0,0,India,PhD,0
36,43053,103,4,0,0,India,PhD,0
30,125043,60,3,1,1,Australia,PhD,0
32,117472,111,4,1,1,USA,Masters,0
55,83517,81,2,1,1,India,Masters,0
37,55614,43,3,0,0,USA,Bachelors,0
46,110957,20,2,0,1,Germany,Masters,0
56,81069,54,1,0,1,Germany,HS,0
58,69857,62,1,1,1,Germany,PhD,0
56,117978,95,2,1,0,UK,PhD,0
53,23804,50,3,1,0,Germany,Bachelors,1
61,90008,4,4,0,0,Germany,Bachelors,1
51,43819,7,3,1,1,USA,PhD,0
42,64236,98,4,1,1,UK,HS,0
52,22540,96,1,1,0,India,HS,1
23,144467,32,2,0,0,USA,Bachelors,0
52,107747,15,2,1,1,UK,Bachelors,0
60,99593,96,1,0,1,India,HS,0
41,95470,87,4,1,0,India,Bachelors,0
28,111382,99,3,0,0,UK,PhD,0
64,68571,9,3,0,1,Germany,HS,0
49,145932,47,4,0,1,USA,Masters,0
61,125932,118,4,1,1,Australia,Masters,0
42,131635,32,1,1,1,USA,PhD,0
58,99997,86,4,1,0,Germany,Masters,0
33,83904,28,3,1,1,UK,Masters,0
57,21330,67,2,0,0,Germany,PhD,1
57,119374,31,4,1,1,India,HS,0
40,49045,52,2,1,1,Germany,Masters,0
49,117771,71,3,1,1,UK,Masters,0
38,50217,16,2,1,0,Australia,Bachelors,0
34,48361,95,4,1,1,India,Bachelors,0
40,49816,47,2,1,0,Australia,Bachelors,0
39,25965,7,3,0,1,India,HS,1
58,57268,61,4,1,1,USA,HS,0
38,143347,111,4,0,0,Germany,PhD,0
26,95631,81,1,0,0,Australia,Masters,1
27,52530,16,4,0,1,Germany,PhD,0
41,132743,76,4,1,0,Australia,HS,0
35,101987,28,3,0,0,USA,Bachelors,0
57,29838,21,1,1,1,Australia,PhD,0
40,24278,30,3,1,1,India,Bachelors,0
38,123262,102,2,1,0,Australia,Bachelors,0
63,39528,117,3,0,0,India,Bachelors,1
41,97993,96,3,1,0,Germany,Masters,0
47,143558,35,4,1,0,Australia,HS,0
49,116276,42,3,0,0,USA,HS,0
65,127665,35,1,0,1,Australia,PhD,0
39,43788,75,4,1,0,Germany,Masters,0
48,63687,42,1,0,1,Germany,PhD,0
40,106846,52,1,1,0,UK,Masters,1
42,35194,99,4,0,1,Germany,HS,0
34,87952,47,4,1,0,USA,Masters,0
57,37172,119,3,1,1,India,HS,0
62,99806,103,2,0,1,Australia,HS,0
57,73476,12,2,0,1,India,Bachelors,0
