step,n_samples,accuracy,precision,recall,f1_score
1,4,0.25,0.21904761904761905,0.3,0.23407814407814403
2,8,0.25,0.21000000000000002,0.3333333333333333,0.24703703703703703
3,12,0.2916666666666667,0.4311111111111111,0.4111111111111112,0.3696536796536796
4,16,0.375,0.5777777777777777,0.5444444444444445,0.522034632034632
5,20,0.4583333333333333,0.6844444444444445,0.6416666666666665,0.6356854256854256
6,24,0.4583333333333333,0.6844444444444445,0.6416666666666665,0.6356854256854256
7,28,0.4583333333333333,0.64,0.6194444444444444,0.6017460317460317
8,32,0.4166666666666667,0.7111111111111111,0.5638888888888889,0.6006349206349206
9,36,0.4166666666666667,0.6777777777777778,0.5722222222222223,0.593968253968254
10,40,0.5,0.7,0.5722222222222223,0.6073015873015873
11,44,0.5416666666666666,0.7777777777777778,0.661111111111111,0.687907647907648
12,48,0.5833333333333334,0.7777777777777778,0.6888888888888888,0.7034920634920636
13,52,0.625,0.8444444444444444,0.7555555555555554,0.7701587301587303
14,56,0.5833333333333334,0.8,0.7222222222222221,0.7390476190476192
15,60,0.5833333333333334,0.8666666666666667,0.7388888888888888,0.7739682539682541
16,64,0.5833333333333334,0.8666666666666667,0.7388888888888888,0.7739682539682541
17,68,0.7083333333333334,0.8666666666666667,0.7777777777777778,0.8088888888888889
18,72,0.7083333333333334,0.8,0.7222222222222221,0.7511111111111112
19,76,0.6666666666666666,0.8666666666666667,0.711111111111111,0.7644444444444444
20,80,0.75,0.8666666666666667,0.7333333333333333,0.7806060606060605
